Title,Original,Generated
The Twonky,Out of Your Own Tomorrow... Out of Time and Space a Fearsome Power!,"It's not what you think, it's what we think."
Hatchet for the Honeymoon,When you chop - Aim well! Don't slip! And just make sure - She doesn't drip!,He's not dead...
Blazing Guns,THE WEST'S THRILL CHAMPS IN ACTION AGAIN!,"It's time to get rid of the bad guys."" -- The New York Times"
The Last Waltz,It Started as a Concert. It Became a Celebration.,There's no such thing as a rock 'n' roll reunion.
Escape Fire: The Fight to Rescue American Healthcare,How can we save our badly broken healthcare system?,The battle for the future is about to begin.
Gardens of Stone,"The story of the war at home, and the people who lived through it.",The story of a man who risked everything to serve his country.
The Dictator,kurd,A man who risked everything to protect democracy.
Colegas,"They are more than friends, they are ...","It's not about money, it's about getting what you want."
Summer Camp,Ready for some fun?,They thought they had it all...
Thank You,Husbands will say sorry ... Wives will say thank you!,Three wives.
Sicko,This might hurt a little.,"How much do you have to lose to get ahead?"" - The New York Times"
Suspect,"No evidence, no crime","It's not a crime to be a teacher, it's just a matter of"
Women in Cages,The dirty dolls of devil's island. You can meet them for a price!,She's got a lot of work to do...
Everything Must Go,Comedy,"It's not about sex, it's about life."
The Beast with Five Fingers,It walks like a spider... it stalks like a cobra!,It's not just a piano...
The Snow Creature,"Himalayan Monster captured 20,000 Feet above the Earth!",The wildest adventure of our time!
Pokémon the Movie White: Victini and Zekrom,A Hero Must Choose: The Power of Ideals... or the Courage of Truth?,Welcome to the world of Pokémon.
That Hagen Girl,Haunted by the whispers of an indiscretion she was too innocent to understand!,The story of a mother and a daughter who live in the same house.
After the Fox,"Watch your girl, guard your gold, hold your jewels ...the fox is loose!",It's not just a movie.
Titan A.E.,"When Earth Ends, The Adventure Begins.",The only way to save the world is to destroy them all.
Styx,They had the perfect plan. Just one thing was missing - Trust.,The story of a man who risked everything to save his family.
Company Business,You can't judge a man by the company that keeps him!,The world's greatest spy is back...
King Creole,Back on screen for the first time in a year!,A comedy about a guy who doesn't know what he's in for.
His Kind of Woman,"They were two of a kind ! ...and bound to meet, but neither of them knew what such a meeting would mean!",The story of a man who risked everything to get out of jail.
Schoolgirls in Chains,They Were Abducted and Violated... but the Worse Was Yet to Come!,Revenge is the only way out.
Next Avengers: Heroes of Tomorrow,The children of heroes past are our only hope for the future!,"It's not what you think, it's what we do."
Alone With Her,Anytime. Anywhere. He's watching.,"It's not what you see, it's who you trust."
The Hired Hand,Peter Fonda is riding again... To the woman he lost ... for the revenge he craves!,He's back...
Fear and Desire,Trapped... 4 Desperate Men and a Strange Half-Animal Girl!,The story of a group of brave men and women who risked their lives to save
Lord of War,"Where there's a will, there's a weapon",The story of one man's struggle to survive in a war zone.
Blackout,His obsession would become her nightmare.,The truth is stranger than you can imagine.
The French Connection,There are no rules and no holds barred when Popeye cuts loose!,He's got a lot on his mind.
You Will Be Mine,You Will Be Mine,A love story that will change your life forever.
Superstar,Dare to dream.,She's going to become the hottest girl on the planet!
Judge Dredd,"In the future, one man is the law.",The future is not what it used to be.
Bugsy Malone,Every year brings a great movie. Every decade a great movie musical!,The story of a girl who became a star...
Stolen,Never steal from the world's greatest thief.,You can't escape your past.
Killer Force,They were professionals who killed for hire. But the man who hunted them killed for pleasure!,The story of one man's struggle to save the world from a world of evil
The Story of Mankind,Explorer... Warrior... Dreamer!,"It's not just a question of religion, it's about love."
Hilary and Jackie,Two sisters. Two lives. One Love...,"A story about love, courage, and the power of the heart."
Interstellar,Mankind was born on Earth. It was never meant to die here.,The adventure begins here.
Pecker,He never realized how far 35 millimeters would take him.,"It's not what you eat, it's how you feel."
