Title,Genre,Original,Generated
Jumanji,"['adventure', 'fantasy', 'family']",Roll the dice and unleash the excitement!,It's time for a change.
Grumpier Old Men,"['romance', 'comedy']",Still Yelling. Still Fighting. Still Ready for Love.,It's time for Max and Therese to get married.
Waiting to Exhale,"['comedy', 'drama', 'romance']",Friends are the people who let you be yourself... and never let you forget it.,It's time for a change.
Father of the Bride Part II,['comedy'],Just When His World Is Back To Normal... He's In For The Surprise Of His Life!,He'll be back.
Heat,"['action', 'crime', 'drama', 'thriller']",A Los Angeles Crime Saga,It's all about the money.
Sabrina,"['comedy', 'romance']",You are cordially invited to the most surprising merger of the year.,He'll be back.
Tom and Huck,"['action', 'adventure', 'drama', 'family']",The Original Bad Boys.,Huckleberry Finn and Tom Sawyer are friends.
Sudden Death,"['action', 'adventure', 'thriller']",Terror goes into overtime.,It's time to get back on the ice.
GoldenEye,"['adventure', 'action', 'thriller']",No limits. No fears. No substitutes.,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.A
The American President,"['comedy', 'drama', 'romance']",Why can't the most powerful man in the world have the one thing he wants most?,A young woman in the midst of a divorce struggles to make sense of her life.
Balto,"['family', 'animation', 'adventure']",Part Dog. Part Wolf. All Hero.,A young woman in her mid-twenties finds herself in the middle of an epidemic that threatens to wipe out her entire family.
Nixon,"['history', 'drama']","Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",This is the story of Richard M.
Cutthroat Island,"['action', 'adventure']",The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,It's time to go back in time.
Casino,"['drama', 'crime']",No one stays at the top forever.,This is the story of a man and his wife who have been living in the same house for the past five years.
Sense and Sensibility,"['drama', 'romance']",Lose your heart and come to your senses.,He'll be back.
Four Rooms,"['crime', 'comedy']","Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments.
Ace Ventura: When Nature Calls,"['crime', 'comedy', 'adventure']",New animals. New adventures. Same hair.,"Shikaka, the missing sacred animal of the friendly Wachati tribe, must find a way to bring balance to this conflict."
Money Train,"['action', 'comedy', 'crime']","Get on, or GET OUT THE WAY!",He'll be back.
Get Shorty,"['comedy', 'thriller', 'crime']","The mob is tough, but it’s nothing like show business.",It's all about the money.
Copycat,"['drama', 'thriller']","One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next.",It's time for a change.
Assassins,"['action', 'adventure', 'crime', 'thriller']","In the shadows of life, In the business of death, One man found a reason to live...",This is the story of a group of young men who find themselves on the wrong side of the law when they try to get their lives back on track.A
Powder,"['drama', 'fantasy', 'science fiction', 'thriller']",An extraordinary encounter with another human being.,This is the story of a young man who is forced to make a choice between his own life and the lives of the people around him.A young woman is
Leaving Las Vegas,"['drama', 'romance']",I Love You... The Way You Are.,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death."
Othello,['drama'],"Envy, greed, jealousy and love.","Desdemona, daughter of a Venetian aristocrat, elopes with Moorish military hero Othello, to the great resentment of Iago."
Now and Then,"['comedy', 'drama', 'family']",In every woman there is the girl she left behind.,"It's the story about seven very different best friends, and one summer that will bring them together like never before."
The City of Lost Children,"['fantasy', 'science fiction', 'adventure']",Where happily ever after is just a dream.,He'll be back.
Shanghai Triad,"['drama', 'crime']",In 1930's Shanghai violence was not the problem. It was the solution.,A young girl is kidnapped by a gangster who wants her to become a prostitute.
