Original,Generated
Roll the dice and unleash the excitement!,"In the Forbidden Forest... There is only one escape."""
Still Yelling. Still Fighting. Still Ready for Love.,"There's a feast coming!"""
Friends are the people who let you be yourself... and never let you forget it.,"Sometimes friendship takes a backseat."""
Just When His World Is Back To Normal... He's In For The Surprise Of His Life!,For a woman who couldn't change her mind when her husband didn’t
A Los Angeles Crime Saga,"One man alone can take over."""
You are cordially invited to the most surprising merger of the year.,"Be careful what you wish for."""
The Original Bad Boys.,"Injun Joe is in danger!"""
Terror goes into overtime.,"It was hell."""
No limits. No fears. No substitutes.,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the
Why can't the most powerful man in the world have the one thing he wants most?,"In Washington... a woman with a passion for women comes under attack."""
Part Dog. Part Wolf. All Hero.,"Protect the innocent."""
"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.","There's no such thing as a bad guy."""
The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,"The man who conquered the seas was a pirate!"""
No one stays at the top forever.,"You have to watch to see it"""
Lose your heart and come to your senses.,"There's a better way."""
"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",You'll never let this one get in the way of a good night's work
New animals. New adventures. Same hair.,"A dream is coming true"""
"Get on, or GET OUT THE WAY!",This one guy with the whole world at stake... he's just trying to make
"The mob is tough, but it’s nothing like show business.",He wants to be a big hit. He wants to be a killer. And
"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next.","A woman's greatest enemy can be the past."""
"In the shadows of life, In the business of death, One man found a reason to live...","He had one goal: kill her. Now he wants to kill her again."""
An extraordinary encounter with another human being.,"He could do anything... except what she did."""
I Love You... The Way You Are.,"The story about two men who never met until the night they met."""
"Envy, greed, jealousy and love.","He's going down a path that will end in bloodshed"""
In every woman there is the girl she left behind.,"A love affair was a long night. Now you can see it."""
Where happily ever after is just a dream.,"A dream doesn't change reality."""
In 1930's Shanghai violence was not the problem. It was the solution.,"The last step in life - is the last laugh."""
She broke the rules... and changed their lives.,A funny and intelligent film about a Vietnam vet's heroic stand against sexual assault and
The future is history.,"Survival begins here"""
A little pig goes a long way.,"The greatest breed of pig ever to be raised on Earth."""
A Love so Unusual it has to be True,"A love story of a British soldier with a homosexual past."""
Two identical strangers. Two different worlds. One perfect match.,"They all love it when they play together."""
Sex. Clothes. Popularity. Is there a problem here?,"He couldn't do anything like her. But, as she thought, he couldn"
"I can smile, and murder while I smile","To get the story of a legendary play, one writer has to be..."""
"In this daring heist, the only color that counts is green","To a large extent, the Vietnam War was an experiment with drugs. To a"
Nothing In This World Has Prepared You For This.,"The Game Is Over."""
All she wanted was a little attention.,"Don't Look Now."""
There's beauty in the patterns of life.,One woman will make you a millionaire...The other woman will make you a loser
Seven deadly sins. Seven ways to die.,"How far would you go to uncover the truth?"""
An American legend comes to life.,"Legend's greatest fairy tale"""
Five Criminals. One Line Up. No Coincidence.,"When you hear a legend, no one believes it!"""
She's no angel of mercy.,"There are many villains out there - and few more capable than Cynthia McKay."""
The biggest kick of the year!,"Life as a soccer mom is going to be hard to resist"""
The toughest act to follow was their dreams.,"If You Have Nothing To Do, Then... Why Do You Want to?"""
We'll do it every year..until we get it right,"The first in a series of unforgettable, hilarious adventures."""
What do you do when justice fails?,"She knew they weren't killers. They were friends."""
"Of All the Lives He Changed, the One That Changed the Most Was His Own.","What makes a masterpiece worth creating?"""
"Finally, the movie that proves that Justice isn't always Poetic, Jungle Fever isn't always pretty, and Higher Learning can be a waste of time.","They were never meant to be like this."""
"A new comedy about love, laughter, and larceny","She's back!"""
Bud and Doyle are here to save the world. But who's gonna save the world from Bud and Doyle?,"In the future, they will be friends."""
"God made him simple. Science made him a god. Now, he wants revenge.","He knew better... until they found out what his computer system is."""
You're never too old to believe in a dream. Or too young to make one come true!,"It's the most exhilarating movie he's ever made!"""
A lot can go down between thursday and saturday...,"A lot of good things can be found in smoke and mirrors."""
