Title,Genre,Original,Generated
Jumanji,"['adventure', 'fantasy', 'family']",Roll the dice and unleash the excitement!,This is the story of a young girl who finds herself trapped in a world that is not her own.
Grumpier Old Men,"['romance', 'comedy']",Still Yelling. Still Fighting. Still Ready for Love.,This is the story of a young girl who is raised by her parents and raised in a dysfunctional family.
Waiting to Exhale,"['comedy', 'drama', 'romance']",Friends are the people who let you be yourself... and never let you forget it.,This is the story of a young girl who has lost her virginity to a man who is obsessed with her body.
Father of the Bride Part II,['comedy'],Just When His World Is Back To Normal... He's In For The Surprise Of His Life!,This is the story of a young man who has lost his father and is trying to find his way back to his family.
Heat,"['action', 'crime', 'drama', 'thriller']",A Los Angeles Crime Saga,"It's not about the money, it's about what you do with it."
Sabrina,"['comedy', 'romance']",You are cordially invited to the most surprising merger of the year.,This is the story of a young girl who has a crush on a man who is a serial killer.
Tom and Huck,"['action', 'adventure', 'drama', 'family']",The Original Bad Boys.,"I'm not a bad guy, I'm a good guy."
Sudden Death,"['action', 'adventure', 'thriller']",Terror goes into overtime.,"I don't know what to do, but I do know that I'm not going to let this happen to me."
GoldenEye,"['adventure', 'action', 'thriller']",No limits. No fears. No substitutes.,"I don't know what I'm going to do with my life, but I do know that I have to find a way to get out of this."
The American President,"['comedy', 'drama', 'romance']",Why can't the most powerful man in the world have the one thing he wants most?,"If you're going to have sex with me, you have to be willing to do it."
Balto,"['family', 'animation', 'adventure']",Part Dog. Part Wolf. All Hero.,I'm the only one who can save the world.
Nixon,"['history', 'drama']","Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.","It's not the end of the world, it's the beginning of a new one.A young girl is kidnapped by a gang of gangsters."
Cutthroat Island,"['action', 'adventure']",The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,This is the story of a young girl who finds herself in the middle of an epic battle between the forces of evil and the people of the land.A young
Casino,"['drama', 'crime']",No one stays at the top forever.,This is the first in a series of documentaries that chronicles the life of one of the world's most notorious drug dealers.
Sense and Sensibility,"['drama', 'romance']",Lose your heart and come to your senses.,"I don't know what to do with my life, but I do know that I'm not going to be able to live without my family."
Four Rooms,"['crime', 'comedy']","Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments.
Ace Ventura: When Nature Calls,"['crime', 'comedy', 'adventure']",New animals. New adventures. Same hair.,This is the story of a young man who finds himself in the middle of an epic battle between the gods and the human race.
Money Train,"['action', 'comedy', 'crime']","Get on, or GET OUT THE WAY!","I'm a cop, and I'm not going to let you get away with it."
Get Shorty,"['comedy', 'thriller', 'crime']","The mob is tough, but it’s nothing like show business.","I'm a mobster, but I'm not a movie star."
Copycat,"['drama', 'thriller']","One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next.","It's time to get rid of the bad guys, and the good guys are going to have to do it.A group of young women are forced to"
Assassins,"['action', 'adventure', 'crime', 'thriller']","In the shadows of life, In the business of death, One man found a reason to live...","If you want to be a man, you have to go out and kill people."
Powder,"['drama', 'fantasy', 'science fiction', 'thriller']",An extraordinary encounter with another human being.,"It's not about me, it's about you."
Leaving Las Vegas,"['drama', 'romance']",I Love You... The Way You Are.,"This is the story of a man who has lost everything because of his drinking, and who is now trying to find his way back to life.A young man"
Othello,['drama'],"Envy, greed, jealousy and love.","Iago, the evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of"
Now and Then,"['comedy', 'drama', 'family']",In every woman there is the girl she left behind.,"This is the story of a young girl who was raised by her parents and raised in a loving, loving home."
The City of Lost Children,"['fantasy', 'science fiction', 'adventure']",Where happily ever after is just a dream.,"I'm a scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.The story of a group of"
Shanghai Triad,"['drama', 'crime']",In 1930's Shanghai violence was not the problem. It was the solution.,"I'm not a bad guy, I'm a good guy."
Dangerous Minds,"['drama', 'crime']",She broke the rules... and changed their lives.,"If you want to be a good person, you have to do what's right for you."
Twelve Monkeys,"['science fiction', 'thriller', 'mystery']",The future is history.,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the"
Babe,"['fantasy', 'drama', 'comedy', 'family']",A little pig goes a long way.,Babe is a little pig who doesn't quite know his place in the world.
Carrington,"['history', 'drama', 'romance']",A Love so Unusual it has to be True,The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside.
It Takes Two,"['comedy', 'family', 'romance']",Two identical strangers. Two different worlds. One perfect match.,"It's not about the money, it's about who you are and what you want to do with your life."
Clueless,"['comedy', 'drama', 'romance']",Sex. Clothes. Popularity. Is there a problem here?,This is the story of a young girl who has a crush on a man who is obsessed with her.
Richard III,"['drama', 'war']","I can smile, and murder while I smile",It's time to go back to the past.
Dead Presidents,"['action', 'crime', 'drama', 'history']","In this daring heist, the only color that counts is green",This is the story of a group of young black men who find themselves on the wrong side of the law and are forced to fight for what they believe is right
Mortal Kombat,"['action', 'fantasy']",Nothing In This World Has Prepared You For This.,This is the story of a young girl who is forced into a life of crime by a gang of thugs who want to take her back to the real world.
To Die For,"['fantasy', 'drama', 'comedy', 'thriller']",All she wanted was a little attention.,"It's not about the money, it's about what you do with it."
How To Make An American Quilt,"['drama', 'romance']",There's beauty in the patterns of life.,I'm not sure what to do with my life.
Se7en,"['crime', 'mystery', 'thriller']",Seven deadly sins. Seven ways to die.,"If you're going to be honest with yourself, you've got to admit that you don't know what's going on in your life."
Pocahontas,"['adventure', 'animation', 'drama', 'family']",An American legend comes to life.,This is the story of a young girl who finds herself in the middle of an epic battle between the forces of good and evil.
